A0A089QRB9	GO:0003824	GO:0004315	GO:0005886	GO:0006633	GO:0008610	GO:0016020	GO:0016491	GO:0016740	GO:0016746	GO:0031177	GO:0034081	GO:0044283	GO:1902321
I6WX95	GO:0006633	GO:0016020
I6WXK4	GO:0004721	GO:0004722	GO:0004725	GO:0005576	GO:0016020	GO:0016787	GO:0020002	GO:0030430	GO:0033644	GO:0043130	GO:0043812	GO:0052036	GO:0052041	GO:0106019	GO:0141081
I6WY86	GO:0016779
I6WZ58	GO:0016020
I6WZ71	GO:0016491	GO:0016616	GO:0051287
I6WZD9	GO:0016491
I6WZG6	GO:0005576	GO:0005886	GO:0016020	GO:0140737
I6WZK3	GO:0016020
I6WZK7	GO:0004322	GO:0005507	GO:0005886	GO:0016020	GO:0016491	GO:0042597	GO:0046872
I6WZM9	GO:0003676
I6WZS4	GO:0000150	GO:0003677	GO:0006310
I6X043	GO:0003677	GO:0004803	GO:0006313
I6X235	GO:0006260	GO:0006281	GO:0006974	GO:0016787	GO:0044715	GO:0044716	GO:0046872	GO:0047631
I6X486	GO:0005515	GO:0005576	GO:0046982	GO:0070208
I6X4J0	GO:0016787
I6X4K0	GO:0003824	GO:0008483
I6X4S7	GO:0006637	GO:0016787	GO:0047617
I6X4W0	GO:0006355	GO:0043856	GO:0045893
I6X4W4	GO:0005886	GO:0015103	GO:0015297	GO:0016020
I6X548	GO:0016020
I6X552	GO:0016020
I6X5C5	GO:0004497	GO:0009636	GO:0016491	GO:0018580
I6X5C9	GO:0000166	GO:0003824	GO:0003919	GO:0005524	GO:0006747	GO:0008531	GO:0009231	GO:0009398	GO:0016301	GO:0016740	GO:0016779
I6X5H3	GO:0000166	GO:0005524	GO:0008643	GO:0016887	GO:0043190	GO:0055085	GO:0140359
I6X5I7	GO:0004851	GO:0006779	GO:0008168	GO:0009236	GO:0016740	GO:0019354	GO:0032259	GO:0043115	GO:0051266	GO:0051287
I6X5K1	GO:0003824	GO:0004356	GO:0006542
I6X5M3	GO:0000160	GO:0003677	GO:0006355
I6X5T4	GO:0003676	GO:0015074
I6X5U4	GO:0008171
I6X5W1	GO:0016020	GO:0016491	GO:0048038
I6X5Z8	GO:0005524	GO:0016020	GO:0016887
I6X654	GO:0016627	GO:0050660
I6X658	GO:0003677	GO:0006355
I6X7D4	GO:0016705
I6X7F2	GO:0016020
I6X7F9	GO:0003677	GO:0046872
I6X7G4	GO:0016020
I6X7G8	GO:0016020
I6X7H4	GO:0005506	GO:0009055	GO:0046872	GO:0051536	GO:0051538
I6X7J6	GO:0016020
I6X7W8	GO:0004497	GO:0016705
I6X7Z3	GO:0004016	GO:0005886	GO:0007165	GO:0009190	GO:0016020	GO:0035556
I6X811	GO:0042597	GO:0043190	GO:0055085
I6X827	GO:0016020	GO:0016787
I6X831	GO:0016884
I6X849	GO:0016020
I6X8D2	GO:0003824	GO:0004315	GO:0006629	GO:0006631	GO:0006633	GO:0008610	GO:0009058	GO:0016740	GO:0016746	GO:0031177
I6X8R2	GO:0004222	GO:0006508	GO:0008233	GO:0008237	GO:0016787	GO:0046872
I6X8R5	GO:0005576	GO:0015886	GO:0020037	GO:0046872
I6X8S7	GO:0016491	GO:0016620
I6X961	GO:0005886	GO:0016020
I6X9F4	GO:0016020
I6X9J0	GO:0003995	GO:0016491	GO:0016627
I6X9R9	GO:0016491	GO:0016620
