PA0005	GO:0008654	GO:0042171
PA0011	GO:0009245	GO:0016747	GO:0034605	GO:0071236	GO:0071470
PA0018	GO:0022898
PA0024	GO:0004109
PA0026	GO:0004629	GO:0006935	GO:0015628	GO:0016298	GO:0043952
PA0035	GO:0000162
PA0036	GO:0000162
PA0037	GO:0006355	GO:2000284
PA0056	GO:0003677	GO:0071977	GO:1902201
PA0074	GO:0004674	GO:0050714
PA0075	GO:0004722	GO:0050709
PA0082	GO:0005515	GO:0033104	GO:0042802
PA0091	GO:0033103	GO:0033104
PA0092	GO:0033103	GO:0097351
PA0093	GO:0009405	GO:0033103	GO:0050135	GO:0097351
PA0094	GO:0005515	GO:0072321
PA0095	GO:0033103	GO:0033104
PA0099	GO:0009405	GO:0033103
PA0102	GO:0004089	GO:0008270
PA0122	GO:0051861
PA0129	GO:0019483
PA0130	GO:0019483
PA0131	GO:0019483
PA0132	GO:0019483
PA0133	GO:0009896
PA0143	GO:0006163	GO:0008477	GO:0009117
PA0148	GO:0000034
PA0149	GO:0005829	GO:0010959	GO:0016987
PA0150	GO:0016989
PA0151	GO:0007166	GO:0019867
PA0171	GO:0016301
PA0172	GO:0004722
PA0176	GO:0009454
PA0183	GO:0004065	GO:0008081
PA0220	GO:0051615
PA0225	GO:0043565
PA0243	GO:1900982
PA0262	GO:0033103	GO:0033104
PA0285	GO:0071111
PA0289	GO:0051345
PA0291	GO:0015288	GO:0019867
PA0292	GO:0033388	GO:0047632
PA0293	GO:0033388	GO:0050126
PA0294	GO:0051346
PA0296	GO:0009447	GO:0046203
PA0297	GO:0046203
PA0298	GO:0046203
PA0299	GO:0008483	GO:0009447
PA0300	GO:0015846	GO:0019810
PA0301	GO:0005615	GO:0015846	GO:0019809
PA0302	GO:0015847	GO:0015848
PA0303	GO:0015847	GO:0015848
PA0304	GO:0015847	GO:0015848
PA0305	GO:0016811
PA0317	GO:0006564	GO:0051990
PA0320	GO:0046677	GO:0046686	GO:0046689
PA0321	GO:0006595	GO:0016787
PA0328	GO:0004177	GO:0009405	GO:0015474	GO:0019867	GO:0048870
PA0336	GO:0034353
PA0355	GO:0044010	GO:0044011	GO:0071236	GO:0071978
PA0357	GO:0006281	GO:0016787
PA0393	GO:0004735	GO:0006561
PA0395	GO:0016887	GO:0043107	GO:0043108	GO:0044096
PA0396	GO:0016888	GO:0043107
PA0423	GO:0005615
PA0424	GO:0000976	GO:0034763	GO:0045892	GO:0050709
PA0425	GO:0042910	GO:0046677
PA0426	GO:0042910
PA0427	GO:0042910
PA0428	GO:0044010	GO:0071978
PA0448	GO:0043565
PA0470	GO:0007166	GO:0019867	GO:0038023	GO:0042928	GO:0042929
PA0471	GO:0016989	GO:0034756
PA0472	GO:0016987	GO:0034756
PA0509	GO:0006783
PA0510	GO:0006783	GO:0008168	GO:0009061	GO:0009108
PA0511	GO:0006091	GO:0006783	GO:0051188
PA0512	GO:0006783	GO:0009108
PA0513	GO:0006783	GO:0009108
PA0514	GO:0006783
PA0516	GO:0006091	GO:0051188
PA0519	GO:0050421
PA0527	GO:0006355	GO:0019333	GO:0051173	GO:0051353	GO:0071731
PA0527.1	GO:0009372	GO:0030254	GO:0033103	GO:0043455	GO:0045974	GO:1900190
PA0538	GO:0006457	GO:0055114
PA0572	GO:0015628	GO:0043952	GO:0052051
PA0576	GO:0006355
PA0595	GO:0015921	GO:0032885
